full_address,council_area,property_type,development_zone_base,property_count,lot_size
120 WALPOLE STREET,BOROONDARA,UNIT,General Residential Zone,2,Small
3 RANGEVIEW GROVE,BOROONDARA,HOUSE,Neighbourhood Residential Zone,2,Small
28 LEX GROVE,MERRI-BEK,UNIT,General Residential Zone,2,Small
7 UNION STREET,BOROONDARA,UNIT,General Residential Zone,2,Small
28 LEEDS STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
15 ELRAY AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
16 BEDFORD STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
16 BELFORT STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 ELM GROVE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
28 KENDALL STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
28 JONES ROAD,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 ELIZABETH STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 WALDAU COURT,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 AVOCA CRESCENT,MERRI-BEK,UNIT,General Residential Zone,2,Small
15 EVANS STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
120 SUFFOLK STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
7 BARKLY STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
28 MOODEMERE STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
28 NORTHCOTE AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
7 BAYLEY GROVE,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 TILBA STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
14 WEIR STREET,BOROONDARA,UNIT,General Residential Zone,2,Small
28 NEVIS STREET,BOROONDARA,UNIT,General Residential Zone,2,Small
7 TOLSTOY COURT,MANNINGHAM,UNIT,General Residential Zone,2,Small
15 EXPLORATION LANE,MELBOURNE,UNIT,Capital City Zone,2,Small
7 TOWER PLACE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
16 BALMER STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
94 CHARLES STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
28 MILLICENT AVENUE,MANNINGHAM,UNIT,General Residential Zone,2,Small
28 MENZIES AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
16 AVOCA CRESCENT,MERRI-BEK,UNIT,General Residential Zone,2,Small
94 CHANDLER ROAD,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 PLYMOUTH AVENUE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
10 BRADY ROAD,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,2,Small
15 ELAROO AVENUE,BOROONDARA,UNIT,General Residential Zone,2,Small
1205 DANDENONG ROAD,STONNINGTON,UNIT,General Residential Zone,2,Small
3 RHODES PARADE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
7 ARKLE STREET,STONNINGTON,UNIT,General Residential Zone,2,Small
28 FLOWER STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
28 FIRST AVENUE,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,2,Small
7 WHITE AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
14 WEBB LANE,MELBOURNE,UNIT,General Residential Zone,2,Small
1 YARDLEY STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
7 WHITESIDE STREET,GREATER DANDENONG,HOUSE,General Residential Zone,2,Small
121 BRIGHTON ROAD,PORT PHILLIP,UNIT,General Residential Zone,2,Small
16 CANTERBURY ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 RUDA STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
15 DUFFY STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
28 EDWARD AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 SEFTON STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
16 CARRATHOOL STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
143 SUSSEX STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
7 ARGO STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,2,Small
14 WATTLE VALLEY ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
7 WETHERBY ROAD,MANNINGHAM,UNIT,General Residential Zone,2,Small
28 FROMHOLD DRIVE,MANNINGHAM,UNIT,General Residential Zone,2,Small
16 BLISSINGTON STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
28 HALLEY AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
28 HULL STREET,YARRA,UNIT,Mixed Use Zone,2,Small
15 EDWARD STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
7 WANDO GROVE,PORT PHILLIP,UNIT,General Residential Zone,2,Small
28 HOPE STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
1 ZEUS COURT,MANNINGHAM,HOUSE,General Residential Zone,2,Small
15 ECKFORD STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
28 HEMMINGS STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,2,Small
28 GROOM STREET,YARRA,UNIT,Mixed Use Zone,2,Small
16 BULONG STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,2,Small
94 BALWYN ROAD,BOROONDARA,UNIT,General Residential Zone,2,Small
3 ROBERT STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
121 BALWYN ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
28 GLADSTONE PARADE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
7 WAXMAN PARADE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
16 BRAEMAR STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
939 HEATHERTON ROAD,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 HUGHES CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 MAY STREET,PORT PHILLIP,UNIT,General Residential Zone,2,Small
3 MAVERSTON STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 FIRTH STREET,MANNINGHAM,UNIT,Activity Centre Zone,2,Small
1 BAYSWATER ROAD,MELBOURNE,UNIT,General Residential Zone,2,Small
12 RIVERSDALE ROAD,BOROONDARA,UNIT,Residential Growth Zone,2,Small
7 JERSEY STREET,BOROONDARA,UNIT,General Residential Zone,2,Small
7 JIKA PLACE,YARRA,UNIT,General Residential Zone,2,Small
15 MITFORD STREET,PORT PHILLIP,UNIT,General Residential Zone,2,Small
15 TYREE AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
297 CHANDLER ROAD,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,2,Small
296 WILLIAMS ROAD,STONNINGTON,UNIT,General Residential Zone,2,Small
15 TYRONE STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
12 RUDA STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
143 ERROL STREET,MELBOURNE,UNIT,Mixed Use Zone,2,Small
143 ESSEX STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
296 CORRIGAN ROAD,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,2,Small
7 ELIZABETH STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
1 BEACHLEY STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
15 MERNDA AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
15 VALERIE STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
12 OSWIN STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 GLENCAIRN AVENUE,BOROONDARA,UNIT,General Residential Zone,2,Small
12 RHODEN COURT,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,2,Small
7 ESTELLA STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 BALLOAN STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
143 CECIL STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,2,Small
7 HUGHES CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 STAWELL STREET,MELBOURNE,UNIT,Mixed Use Zone,2,Small
12 RANDWICK COURT,GREATER DANDENONG,HOUSE,General Residential Zone,2,Small
97 BUCKLEY STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 MOULE AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 FULTON STREET,PORT PHILLIP,UNIT,General Residential Zone,2,Small
3 ADA STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
3 ARDOCH AVENUE,PORT PHILLIP,UNIT,General Residential Zone,2,Small
7 IRVING ROAD,STONNINGTON,UNIT,General Residential Zone,2,Small
15 MONACO STREET,MANNINGHAM,HOUSE,General Residential Zone,2,Small
3 ANDERSON STREET,MANNINGHAM,UNIT,Neighbourhood Residential Zone,2,Small
3 ALSACE STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
3 GLAMIS ROAD,MARIBYRNONG,UNIT,General Residential Zone,2,Small
3 ADAMS STREET,YARRA,UNIT,Neighbourhood Residential Zone,2,Small
15 VINCENT CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 VIOLET GROVE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 GREEN STREET,YARRA,UNIT,Commercial 1 Zone,2,Small
290 PORTER STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
292 GEORGE STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 KINGSVILLE STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
3 HAMPTON ROAD,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
291 BARKLY STREET,PORT PHILLIP,UNIT,General Residential Zone,2,Small
1 BEAVER STREET,MOONEE VALLEY,HOUSE,Commercial 1 Zone,2,Small
3 HANKE ROAD,MANNINGHAM,UNIT,General Residential Zone,2,Small
10 ARVERN AVENUE,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
12 NORTHGATE STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
956 RIVERSDALE ROAD,BOROONDARA,UNIT,General Residential Zone,2,Small
956 BURKE ROAD,BOROONDARA,UNIT,General Residential Zone,2,Small
97 FOOTE STREET,MANNINGHAM,HOUSE,General Residential Zone,2,Small
290 MONT ALBERT ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
12 NICHOLSON STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
29 YORK STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
142 PARK STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,2,Small
954 TOORAK ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
292 INKERMAN STREET,PORT PHILLIP,UNIT,General Residential Zone,2,Small
142 SHIELDS STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
7 KENNEDY STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
294 ESSEX STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
12 SECOND AVENUE,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,2,Small
7 KENT COURT,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
15 VIZARD STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 GREGORY STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
15 MCCULLOCH STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
12 OLIVE STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 WALNUT ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
294 BELMORE ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 HALLEY AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
15 MAYLANDS AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
293 CUMBERLAND ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
3 HAINES STREET,MELBOURNE,UNIT,General Residential Zone,2,Small
15 MARWAL AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
959 DONCASTER ROAD,MANNINGHAM,UNIT,Residential Growth Zone,2,Small
292 WAVERLEY ROAD,STONNINGTON,UNIT,Commercial 1 Zone,2,Small
292 TOORONGA ROAD,STONNINGTON,HOUSE,Commercial 1 Zone,2,Small
3 BALSTON STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,2,Small
15 STATION ROAD,MERRI-BEK,UNIT,General Residential Zone,2,Small
7 LAMBETH PLACE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,2,Small
15 ST KINNORD STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
15 RAWDON HILL DRIVE,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,2,Small
3 CORIO STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
3 CORHAMPTON ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
7 GLENROY ROAD,BOROONDARA,UNIT,General Residential Zone,2,Small
96 TUNSTALL ROAD,MANNINGHAM,UNIT,General Residential Zone,2,Small
15 RENOWN STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
7 GLENTHORNE DRIVE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
96 SUMMERHILL ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 COLITE STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
3 EASTON COURT,GREATER DANDENONG,HOUSE,Neighbourhood Residential Zone,2,Small
12 PEACOCK STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
15 RIDLEY AVENUE,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
96 ROBERTS STREET,MARIBYRNONG,HOUSE,General Residential Zone,2,Small
3 CLYDE STREET,BOROONDARA,UNIT,General Residential Zone,2,Small
3 CLOVELLY COURT,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
10 BALMORAL AVENUE,MANNINGHAM,UNIT,General Residential Zone,2,Small
3 EDITH STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
3 CRESWICK STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
143 BRADSHAW STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
7 FIRTH STREET,MANNINGHAM,UNIT,Activity Centre Zone,2,Small
3 DEVON COURT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
1 BALMORAL AVENUE,MERRI-BEK,UNIT,General Residential Zone,2,Small
3 DOUGLAS STREET,STONNINGTON,UNIT,General Residential Zone,2,Small
3 DIANNE STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
15 OUTHWAITE AVENUE,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 FOX STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 DIAMOND STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
3 DEVON ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
7 FRANKLIN ROAD,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 GELLIBRAND STREET,BOROONDARA,UNIT,General Residential Zone,2,Small
12 PASCOE STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
15 OSBURN AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 DAPHNE STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
961 RATHDOWNE STREET,YARRA,UNIT,Neighbourhood Residential Zone,2,Small
15 PRINCESS STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
967 DONCASTER ROAD,MANNINGHAM,UNIT,Residential Growth Zone,2,Small
3 CYRIL STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,2,Small
7 GRANGE ROAD,STONNINGTON,UNIT,General Residential Zone,2,Small
3 EDMUND STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
7 GRANT STREET,MELBOURNE,UNIT,Mixed Use Zone,2,Small
15 MUNRO STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
15 NOCKOLDS CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
7 HAZEL GROVE,MERRI-BEK,UNIT,General Residential Zone,2,Small
7 HEDGELEY AVENUE,STONNINGTON,UNIT,Neighbourhood Residential Zone,2,Small
3 FARRINGDON STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
3 BIRTLES COURT,BOROONDARA,HOUSE,Neighbourhood Residential Zone,2,Small
1 BALDWIN AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 BIRKLEY COURT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
12 PROUT LANE,MELBOURNE,UNIT,General Residential Zone,2,Small
15 SHAKESPEARE GROVE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
15 SOMERSET ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
7 HERMIONE AVENUE,MERRI-BEK,UNIT,General Residential Zone,2,Small
96 GLENLYON ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
3 BEAUFORT COURT,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
3 BARWON STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
12 PARK AVENUE,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 HONNI COURT,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
10 AVON STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
97 ATKINSON STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
3 EDWARD STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
15 ROGER STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
3 CHRIS COURT,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
143 BALWYN ROAD,BOROONDARA,HOUSE,Neighbourhood Residential Zone,2,Small
15 RODD STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,2,Small
12 PARKER STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
12 PARK ROAD,MANNINGHAM,UNIT,General Residential Zone,2,Small
3 CHAUCER CRESCENT,BOROONDARA,HOUSE,Neighbourhood Residential Zone,2,Small
12 PINE WAY,MANNINGHAM,HOUSE,General Residential Zone,2,Small
3 CHANDLER ROAD,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 FAIRBAIRN ROAD,STONNINGTON,HOUSE,Neighbourhood Residential Zone,2,Small
7 FAWKNER ROAD,MERRI-BEK,UNIT,Residential Growth Zone,2,Small
10 AYR STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 FARRINGDON STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
3 CANTERBURY STREET,MARIBYRNONG,UNIT,Commercial 1 Zone,2,Small
15 OBERWYL ROAD,BOROONDARA,UNIT,General Residential Zone,2,Small
3 FAHEY PLACE,MANNINGHAM,UNIT,General Residential Zone,2,Small
7 HARTWELL HILL ROAD,BOROONDARA,UNIT,General Residential Zone,2,Small
10 ARTHUR STREET,STONNINGTON,UNIT,General Residential Zone,2,Small
15 MACPHERSON STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
29 CLOVELLY AVENUE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
95 ORMOND ESPLANADE,PORT PHILLIP,UNIT,General Residential Zone,2,Small
10 ARCADIA AVENUE,STONNINGTON,UNIT,General Residential Zone,2,Small
29 HAZEL STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
1 BILLING STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 LANGTON STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
12 TAYLOR STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
3 KING STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
12 MURRELL STREET,MERRI-BEK,UNIT,Residential Growth Zone,2,Small
1 ASHBURN GROVE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
29 HAKEA STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
95 LOONGANA AVENUE,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,2,Small
12 MOUNTAIN GROVE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
7 COOK STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
97 STRABANE AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
95 LEEDS STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
95 KENEALLY STREET,GREATER DANDENONG,UNIT,Comprehensive Development Zone,2,Small
3 LAMBETH PLACE,PORT PHILLIP,UNIT,General Residential Zone,2,Small
10 BLOOMFIELD AVENUE,MARIBYRNONG,UNIT,General Residential Zone,2,Small
7 MOFFAT STREET,STONNINGTON,HOUSE,General Residential Zone,2,Small
7 MOAMA ROAD,STONNINGTON,UNIT,Neighbourhood Residential Zone,2,Small
29 HILLCREST GROVE,GREATER DANDENONG,UNIT,Residential Growth Zone,2,Small
29 HUGHES CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
95 NICHOLSON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,2,Small
7 MINONA STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
29 KELVINSIDE ROAD,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
29 JASPER STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
7 CUMBERLAND ROAD,MERRI-BEK,UNIT,General Residential Zone,2,Small
15 LEMAN CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 KATHLEEN STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
7 MITCHELL COURT,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 LANSELL ROAD,STONNINGTON,UNIT,General Residential Zone,2,Small
3 KATRINA STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
12 TARANA AVENUE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
29 HILLSIDE AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
15 LAWN CRESCENT,MARIBYRNONG,UNIT,General Residential Zone,2,Small
29 HILLINGDON CRESCENT,MANNINGHAM,UNIT,General Residential Zone,2,Small
15 LAURIE ROAD,MANNINGHAM,UNIT,General Residential Zone,2,Small
152 CUMBERLAND ROAD,MERRI-BEK,UNIT,General Residential Zone,2,Small
3 LANGTON STREET,MERRI-BEK,UNIT,General Residential Zone,2,Small
7 COLEMAN COURT,MARIBYRNONG,UNIT,General Residential Zone,2,Small
3 LEEDS STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
154 BARROW STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
7 CHURCHILL STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
7 ORMOND ROAD,MARIBYRNONG,UNIT,General Residential Zone,2,Small
15 JENKINS STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
7 ORMOND STREET,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,2,Small
29 DIAMOND STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
15 JANET STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
95 BEATTY AVENUE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
972 BURKE ROAD,BOROONDARA,UNIT,General Residential Zone,2,Small
3 MARCO POLO STREET,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
12 MENZIES AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
29 DEVON ROAD,MERRI-BEK,UNIT,General Residential Zone,2,Small
7 CHAMBERLAIN STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
15 INVERLEITH STREET,BOROONDARA,UNIT,Commercial 1 Zone,2,Small
29 DAVID STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
95 BALMORAL AVENUE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
12 TOLLINGTON AVENUE,STONNINGTON,UNIT,General Residential Zone,2,Small
1535 HEATHERTON ROAD,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
29 EDGAR STREET,MARIBYRNONG,HOUSE,General Residential Zone,2,Small
29 GLADSTONE PARADE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
29 FULTON STREET,PORT PHILLIP,UNIT,General Residential Zone,2,Small
3 LIARDET STREET,PORT PHILLIP,UNIT,Residential Growth Zone,2,Small
1522 HEATHERTON ROAD,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
141 RALEIGH ROAD,MARIBYRNONG,UNIT,General Residential Zone,2,Small
15 KENT STREET,YARRA,UNIT,General Residential Zone,2,Small
3 LORNE STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
12 MINCHA STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
7 NAIRN STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
29 FREDERICK STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
3 MAPLE GROVE,STONNINGTON,UNIT,General Residential Zone,2,Small
3 MACEDON STREET,MARIBYRNONG,UNIT,Neighbourhood Residential Zone,2,Small
153 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,2,Small
29 FISHER STREET,STONNINGTON,UNIT,General Residential Zone,2,Small
3 MANGAN STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
153 WEST STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,2,Small
12 THE GLADES,MANNINGHAM,UNIT,General Residential Zone,2,Small
10 BOLINDA ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
152 BURKE ROAD,STONNINGTON,HOUSE,General Residential Zone,2,Small
12 TANDARA AVENUE,MANNINGHAM,UNIT,General Residential Zone,2,Small
29 WHITWORTH AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
7 MERYL STREET,MANNINGHAM,UNIT,General Residential Zone,2,Small
15 LORIS STREET,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
12 NEPTUNE STREET,PORT PHILLIP,UNIT,General Residential Zone,2,Small
7 LIARDET STREET,PORT PHILLIP,UNIT,Residential Growth Zone,2,Small
29 STANHOPE GROVE,BOROONDARA,HOUSE,Neighbourhood Residential Zone,2,Small
7 LIBERATOR STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
150 POWER STREET,BOROONDARA,UNIT,Residential Growth Zone,2,Small
29 SELWYN AVENUE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,2,Small
150 PRINCESS STREET,BOROONDARA,UNIT,General Residential Zone,2,Small
7 DENMAN AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
10 BERKELEY STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,2,Small
7 DE CHENE PARADE,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,2,Small
29 REGENT AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,2,Small
142 HOFFMANS ROAD,MOONEE VALLEY,UNIT,General Residential Zone,2,Small
12 STUDLEY STREET,MARIBYRNONG,UNIT,General Residential Zone,2,Small
1506 HEATHERTON ROAD,GREATER DANDENONG,HOUSE,General Residential Zone,2,Small
