full_address,council_area,property_type,development_zone_base,property_count,lot_size
20 HEPBURN ROAD,MANNINGHAM,UNIT,Activity Centre Zone,127,Large
120 STURT STREET,MELBOURNE,UNIT,Capital City Zone,126,Large
499 ST KILDA ROAD,MELBOURNE,UNIT,Commercial 1 Zone,126,Large
5 ELGAR COURT,MANNINGHAM,UNIT,Activity Centre Zone,126,Large
100 LORIMER STREET,MELBOURNE,UNIT,Docklands Zone,126,Large
8 DORCAS STREET,MELBOURNE,HOUSE,Mixed Use Zone,126,Large
8 EVERGREEN MEWS,STONNINGTON,UNIT,Mixed Use Zone,125,Large
181 A'BECKETT STREET,MELBOURNE,UNIT,Capital City Zone,125,Large
283 SPRING STREET,MELBOURNE,UNIT,Capital City Zone,124,Large
81 A'BECKETT STREET,MELBOURNE,UNIT,Capital City Zone,124,Large
8 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,124,Large
1 BOUVERIE STREET,MELBOURNE,UNIT,Capital City Zone,123,Large
243 FRANKLIN STREET,MELBOURNE,UNIT,Capital City Zone,122,Large
28 WILLS STREET,MELBOURNE,UNIT,Capital City Zone,122,Large
9 DRYBURGH STREET,MELBOURNE,UNIT,Mixed Use Zone,121,Large
228 A'BECKETT STREET,MELBOURNE,HOUSE,Capital City Zone,121,Large
61 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,121,Large
250 ST KILDA ROAD,MELBOURNE,UNIT,Mixed Use Zone,120,Large
470 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,120,Large
408 LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,120,Large
50 CLAREMONT STREET,STONNINGTON,UNIT,Activity Centre Zone,120,Large
668 BOURKE STREET,MELBOURNE,UNIT,Capital City Zone,119,Large
74 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,118,Large
15 DOEPEL WAY,MELBOURNE,UNIT,Docklands Zone,118,Large
14 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,118,Large
421 DOCKLANDS DRIVE,MELBOURNE,UNIT,Docklands Zone,118,Large
118 RUSSELL STREET,MELBOURNE,UNIT,Capital City Zone,116,Large
296 LITTLE LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,116,Large
70 LORIMER STREET,MELBOURNE,UNIT,Docklands Zone,116,Large
38 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,116,Large
632 DONCASTER ROAD,MANNINGHAM,UNIT,Activity Centre Zone,115,Large
604 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,115,Large
347 CAMBERWELL ROAD,BOROONDARA,UNIT,Commercial 1 Zone,115,Large
27 THERRY STREET,MELBOURNE,UNIT,Capital City Zone,115,Large
23 BATMAN STREET,MELBOURNE,UNIT,Mixed Use Zone,115,Large
57 SPENCER STREET,MELBOURNE,UNIT,Capital City Zone,115,Large
576 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,115,Large
2 GOLDING STREET,BOROONDARA,UNIT,Commercial 1 Zone,114,Large
280 ALBERT STREET,MELBOURNE,UNIT,Commercial 1 Zone,114,Large
225 ELIZABETH STREET,MELBOURNE,HOUSE,Capital City Zone,114,Large
60 LORIMER STREET,MELBOURNE,UNIT,Docklands Zone,113,Large
125 FRANCIS STREET,MARIBYRNONG,UNIT,General Residential Zone,112,Large
72 WESTS ROAD,MARIBYRNONG,UNIT,Mixed Use Zone,111,Large
7 ASPEN STREET,MOONEE VALLEY,UNIT,Activity Centre Zone,111,Large
5 SUTHERLAND STREET,MELBOURNE,UNIT,Capital City Zone,111,Large
42 PORTER STREET,STONNINGTON,UNIT,Activity Centre Zone,111,Large
610 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,111,Large
333 EXHIBITION STREET,MELBOURNE,UNIT,Mixed Use Zone,110,Large
38 BANK STREET,PORT PHILLIP,UNIT,Mixed Use Zone,110,Large
4 BIK LANE,YARRA,UNIT,Mixed Use Zone,110,Large
538 LITTLE LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,109,Large
41 BATMAN STREET,MELBOURNE,UNIT,Mixed Use Zone,108,Large
55 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,108,Large
55 VICTORIA HARBOUR PROMENADE,MELBOURNE,UNIT,Docklands Zone,108,Large
480 RIVERSDALE ROAD,BOROONDARA,UNIT,Commercial 1 Zone,108,Large
53 BATMAN STREET,MELBOURNE,UNIT,Mixed Use Zone,107,Large
61 GALADA AVENUE,MELBOURNE,UNIT,Residential Growth Zone,107,Large
1 RIVERSIDE QUAY,MELBOURNE,UNIT,Capital City Zone,106,Large
333 ASCOT VALE ROAD,MOONEE VALLEY,UNIT,Activity Centre Zone,106,Large
21 ROBERT STREET,YARRA,UNIT,Mixed Use Zone,106,Large
145 QUEENSBERRY STREET,MELBOURNE,UNIT,Mixed Use Zone,105,Large
387 DOCKLANDS DRIVE,MELBOURNE,UNIT,Docklands Zone,105,Large
