full_address,council_area,property_type,development_zone_base,land_size_group,suburb,property_count,lot_size
"1 MORELAND STREET, FOOTSCRAY",MARIBYRNONG,UNIT,Activity Centre Zone,large_area,FOOTSCRAY,178,Large
"640 SWANSTON STREET, CARLTON",MELBOURNE,UNIT,Mixed Use Zone,large_area,CARLTON,174,Large
"36 LA TROBE STREET, MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,small_area,MELBOURNE,173,Large
"181 EXHIBITION STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,173,Large
"101 TRAM ROAD, DONCASTER",MANNINGHAM,UNIT,Activity Centre Zone,large_area,DONCASTER,171,Large
"15 CARAVEL LANE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,171,Large
"488 SWANSTON STREET, CARLTON",MELBOURNE,UNIT,Mixed Use Zone,large_area,CARLTON,169,Large
"20 SHAMROCK STREET, ABBOTSFORD",YARRA,UNIT,Priority Development Zone,large_area,ABBOTSFORD,169,Large
"557 LITTLE LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,169,Large
"35 SPRING STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,168,Large
"35 QUEENS BRIDGE STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,166,Large
"416 ST KILDA ROAD, MELBOURNE",PORT PHILLIP,UNIT,Commercial 1 Zone,medium_area,MELBOURNE,165,Large
"8 MCCRAE STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,161,Large
"35 ALBERT ROAD, MELBOURNE",PORT PHILLIP,UNIT,Commercial 1 Zone,large_area,MELBOURNE,161,Large
"50 LORIMER STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,159,Large
"288 ALBERT STREET, BRUNSWICK",MERRI-BEK,UNIT,Commercial 1 Zone,large_area,BRUNSWICK,159,Large
"1 ALMEIDA CRESCENT, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,large_area,SOUTH YARRA,158,Large
"2 NEWQUAY PROMENADE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,158,Large
"88 SOUTHBANK BOULEVARD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,157,Large
"2 JOSEPH ROAD, FOOTSCRAY",MARIBYRNONG,UNIT,Activity Centre Zone,large_area,FOOTSCRAY,157,Large
"681 CHAPEL STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,medium_area,SOUTH YARRA,156,Large
"83 WHITEMAN STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,156,Large
"109 CLARENDON STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,small_area,SOUTHBANK,156,Large
"238 FLINDERS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,156,Large
"58 JEFFCOTT STREET, WEST MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,medium_area,WEST MELBOURNE,155,Large
"2 CLAREMONT STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,medium_area,SOUTH YARRA,155,Large
"677 LA TROBE STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,154,Large
"528 SWANSTON STREET, CARLTON",MELBOURNE,UNIT,Mixed Use Zone,medium_area,CARLTON,152,Large
"38 ROSE LANE, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,152,Large
"60 A'BECKETT STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,152,Large
"222 RUSSELL STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,151,Large
"39 CARAVEL LANE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,151,Large
"241 HARBOUR ESPLANADE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,150,Large
"7 CLAREMONT STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,large_area,SOUTH YARRA,150,Large
"77 RIVER STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,medium_area,SOUTH YARRA,149,Large
"87 FRANKLIN STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,147,Large
"560 LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,146,Large
"188 WHITEHORSE ROAD, BALWYN",BOROONDARA,UNIT,Commercial 1 Zone,large_area,BALWYN,146,Large
"27 LITTLE COLLINS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,145,Large
"65 COVENTRY STREET, SOUTHBANK",MELBOURNE,UNIT,Mixed Use Zone,large_area,SOUTHBANK,145,Large
"120 A'BECKETT STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,145,Large
"70 DORCAS STREET, SOUTHBANK",MELBOURNE,UNIT,Mixed Use Zone,medium_area,SOUTHBANK,144,Large
"1 POINT PARK CRESCENT, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,144,Large
"79 WHITEMAN STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,144,Large
"15 CLIFTON STREET, PRAHRAN",STONNINGTON,UNIT,Activity Centre Zone,large_area,PRAHRAN,142,Large
"18 WATERVIEW WALK, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,142,Large
"14 CLAREMONT STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,medium_area,SOUTH YARRA,142,Large
"8 WATERVIEW WALK, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,142,Large
"1 QUEENSBRIDGE SQUARE, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,142,Large
"12 QUEENS ROAD, MELBOURNE",PORT PHILLIP,UNIT,Commercial 1 Zone,large_area,MELBOURNE,141,Large
"565 FLINDERS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,140,Large
"22 BARKLY STREET, BRUNSWICK EAST",MERRI-BEK,UNIT,Commercial 1 Zone,large_area,BRUNSWICK EAST,140,Large
"14 DAVID STREET, RICHMOND",YARRA,UNIT,Mixed Use Zone,large_area,RICHMOND,139,Large
"6 LEICESTER STREET, CARLTON",MELBOURNE,UNIT,Capital City Zone,medium_area,CARLTON,139,Large
"8 DOWNIE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,138,Large
"233 COLLINS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,137,Large
"81 SOUTH WHARF DRIVE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,137,Large
"8 EXPLORATION LANE, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,135,Large
"1 CLARA STREET, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,large_area,SOUTH YARRA,135,Large
"288 SPENCER STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,133,Large
"8 LYGON STREET, BRUNSWICK EAST",MERRI-BEK,UNIT,Commercial 1 Zone,large_area,BRUNSWICK EAST,133,Large
"20 RAKAIA WAY, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,132,Large
"50 ALBERT ROAD, SOUTH MELBOURNE",PORT PHILLIP,UNIT,Commercial 1 Zone,medium_area,SOUTH MELBOURNE,132,Large
"270 KING STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,132,Large
"162 ALBERT STREET, EAST MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,large_area,EAST MELBOURNE,132,Large
"50 HAIG STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,132,Large
"63 HAIG STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,131,Large
"315 LA TROBE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,131,Large
"18 ALBERT STREET, FOOTSCRAY",MARIBYRNONG,HOUSE,Activity Centre Zone,large_area,FOOTSCRAY,130,Large
"555 SWANSTON STREET, CARLTON",MELBOURNE,UNIT,Comprehensive Development Zone,large_area,CARLTON,129,Large
"58 CLARKE STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,small_area,SOUTHBANK,129,Large
"90 LORIMER STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,129,Large
"5 CARAVEL LANE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,129,Large
"99 WHITEMAN STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,128,Large
"815 BOURKE STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,medium_area,DOCKLANDS,128,Large
