full_address,council_area,property_type,development_zone_base,land_size_group,suburb,property_count,lot_size
"6 STATION STREET, KEW EAST",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,KEW EAST,2,Small
"37 GOVE STREET, SPRINGVALE",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE,2,Small
"158 UNION STREET, BRUNSWICK",MERRI-BEK,HOUSE,Residential Growth Zone,medium_area,BRUNSWICK,2,Small
"110 BUCKLEY STREET, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"6 STEWART STREET, PASCOE VALE",MERRI-BEK,UNIT,General Residential Zone,small_area,PASCOE VALE,2,Small
"1 BRUNET STREET, DANDENONG NORTH",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG NORTH,2,Small
"110 BURKE ROAD, MALVERN EAST",STONNINGTON,UNIT,General Residential Zone,small_area,MALVERN EAST,2,Small
"5 TEMUKA AVENUE, BRUNSWICK EAST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK EAST,2,Small
"5 TEAK COURT, DONCASTER",MANNINGHAM,UNIT,General Residential Zone,small_area,DONCASTER,2,Small
"51 ELLT CRESCENT, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"16 ALBERT STREET, OAK PARK",MERRI-BEK,UNIT,General Residential Zone,small_area,OAK PARK,2,Small
"92 FARNHAM STREET, FLEMINGTON",MOONEE VALLEY,UNIT,General Residential Zone,small_area,FLEMINGTON,2,Small
"1 BURKE ROAD, MALVERN EAST",STONNINGTON,UNIT,General Residential Zone,small_area,MALVERN EAST,2,Small
"37 AYLMER STREET, BALWYN NORTH",BOROONDARA,UNIT,Neighbourhood Residential Zone,medium_area,BALWYN NORTH,2,Small
"16 BALMER STREET, BRUNSWICK",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK,2,Small
"37 ARNDT ROAD, PASCOE VALE",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,PASCOE VALE,2,Small
"37 ALBERT STREET, WINDSOR",STONNINGTON,UNIT,General Residential Zone,small_area,WINDSOR,2,Small
"37 ALBERT AVENUE, SPRINGVALE",GREATER DANDENONG,HOUSE,Residential Growth Zone,small_area,SPRINGVALE,2,Small
"16 BEDFORD STREET, HADFIELD",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,HADFIELD,2,Small
"6 TORRING ROAD, HAWTHORN EAST",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,HAWTHORN EAST,2,Small
"16 BELFORT STREET, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"369 MANNINGHAM ROAD, DONCASTER",MANNINGHAM,HOUSE,Residential Growth Zone,small_area,DONCASTER,2,Small
"369 HIGH STREET, TEMPLESTOWE LOWER",MANNINGHAM,UNIT,General Residential Zone,small_area,TEMPLESTOWE LOWER,2,Small
"369 CHURCH ROAD, TEMPLESTOWE",MANNINGHAM,HOUSE,General Residential Zone,small_area,TEMPLESTOWE,2,Small
"110 KOOYONG ROAD, ARMADALE",STONNINGTON,UNIT,General Residential Zone,medium_area,ARMADALE,2,Small
"104 WOOD STREET, TEMPLESTOWE",MANNINGHAM,UNIT,General Residential Zone,small_area,TEMPLESTOWE,2,Small
"16 BLISSINGTON STREET, SPRINGVALE",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE,2,Small
"92 FOOTE STREET, TEMPLESTOWE LOWER",MANNINGHAM,UNIT,General Residential Zone,small_area,TEMPLESTOWE LOWER,2,Small
"41 CLIFTON STREET, BALWYN NORTH",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,BALWYN NORTH,2,Small
"16 BRAEMAR STREET, ESSENDON",MOONEE VALLEY,UNIT,General Residential Zone,small_area,ESSENDON,2,Small
"16 AVOCA CRESCENT, PASCOE VALE",MERRI-BEK,UNIT,General Residential Zone,small_area,PASCOE VALE,2,Small
"14 IMMARNA ROAD, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,small_area,CAMBERWELL,2,Small
"10 LYTTON STREET, GLENROY",MERRI-BEK,UNIT,General Residential Zone,small_area,GLENROY,2,Small
"37 BARNSBURY ROAD, DEEPDENE",BOROONDARA,HOUSE,Neighbourhood Residential Zone,small_area,DEEPDENE,2,Small
"37 CARLTON ROAD, DANDENONG NORTH",GREATER DANDENONG,HOUSE,Neighbourhood Residential Zone,small_area,DANDENONG NORTH,2,Small
"16 ALFRED ROAD, GLEN IRIS",BOROONDARA,UNIT,General Residential Zone,small_area,GLEN IRIS,2,Small
"16 ALLAMBEE AVENUE, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,small_area,CAMBERWELL,2,Small
"6 THE VAUCLUSE, RICHMOND",YARRA,HOUSE,Neighbourhood Residential Zone,small_area,RICHMOND,2,Small
"16 ALLAN STREET, NOBLE PARK",GREATER DANDENONG,UNIT,Residential Growth Zone,medium_area,NOBLE PARK,2,Small
"16 ALSACE STREET, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"37 BRUCE STREET, FAWKNER",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,FAWKNER,2,Small
"92 MENZIES AVENUE, DANDENONG NORTH",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG NORTH,2,Small
"16 ANDERSON STREET, SOUTH YARRA",MELBOURNE,UNIT,General Residential Zone,small_area,SOUTH YARRA,2,Small
"37 BOUNDARY ROAD, COBURG NORTH",MERRI-BEK,UNIT,General Residential Zone,small_area,COBURG NORTH,2,Small
"37 BLYTH STREET, BRUNSWICK",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK,2,Small
"6 THIRD AVENUE, DANDENONG NORTH",GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,small_area,DANDENONG NORTH,2,Small
"37 BIRDWOOD AVENUE, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"16 ARNOLD COURT, PASCOE VALE",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,PASCOE VALE,2,Small
"6 THOMAS STREET, NOBLE PARK",GREATER DANDENONG,UNIT,Residential Growth Zone,small_area,NOBLE PARK,2,Small
"6 THORN STREET, CAMBERWELL",BOROONDARA,HOUSE,Neighbourhood Residential Zone,small_area,CAMBERWELL,2,Small
"6 THROUGH ROAD, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"14 GARDEN AVENUE, EAST MELBOURNE",MELBOURNE,UNIT,General Residential Zone,small_area,EAST MELBOURNE,2,Small
"19 CROMWELL STREET, GLENROY",MERRI-BEK,UNIT,General Residential Zone,small_area,GLENROY,2,Small
"1 URANA DRIVE, KEILOR EAST",MOONEE VALLEY,UNIT,General Residential Zone,small_area,KEILOR EAST,2,Small
"45 HILLSIDE AVENUE, DANDENONG NORTH",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG NORTH,2,Small
"13 HAZEL GROVE, PASCOE VALE",MERRI-BEK,UNIT,General Residential Zone,small_area,PASCOE VALE,2,Small
"26 MAYFAIR AVENUE, TEMPLESTOWE LOWER",MANNINGHAM,UNIT,General Residential Zone,small_area,TEMPLESTOWE LOWER,2,Small
"204 BROUGHAM STREET, KEW",BOROONDARA,UNIT,General Residential Zone,medium_area,KEW,2,Small
"204 COTHAM ROAD, KEW",BOROONDARA,UNIT,General Residential Zone,medium_area,KEW,2,Small
"204 NOONE STREET, CLIFTON HILL",YARRA,UNIT,Mixed Use Zone,small_area,CLIFTON HILL,2,Small
"26 LYNDEN STREET, CAMBERWELL",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,CAMBERWELL,2,Small
"204 UNION ROAD, SURREY HILLS",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,SURREY HILLS,2,Small
"12 WIMBLEDON AVENUE, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,2,Small
"1 MANICA STREET, BRUNSWICK WEST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK WEST,2,Small
"8 LOMOND TERRACE, MALVERN EAST",STONNINGTON,UNIT,Neighbourhood Residential Zone,small_area,MALVERN EAST,2,Small
"205 AUBURN ROAD, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,small_area,HAWTHORN,2,Small
"13 HAROLD STREET, GLENROY",MERRI-BEK,UNIT,General Residential Zone,small_area,GLENROY,2,Small
"11 ADELAIDE STREET, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"13 HAKEA STREET, TEMPLESTOWE",MANNINGHAM,UNIT,General Residential Zone,small_area,TEMPLESTOWE,2,Small
"12 WINIFRED STREET, ESSENDON",MOONEE VALLEY,UNIT,General Residential Zone,small_area,ESSENDON,2,Small
"26 LEE AVENUE, SPRINGVALE",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE,2,Small
"13 GREY STREET, BALWYN",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,BALWYN,2,Small
"26 LARBERT ROAD, NOBLE PARK",GREATER DANDENONG,HOUSE,General Residential Zone,small_area,NOBLE PARK,2,Small
"12 WILLIAM AVENUE, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"48 FRENCH STREET, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"55 NICHOLAS STREET, ASHBURTON",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,ASHBURTON,2,Small
"203 DANDENONG ROAD, WINDSOR",STONNINGTON,UNIT,Residential Growth Zone,small_area,WINDSOR,2,Small
"48 GREENDALE ROAD, DONCASTER EAST",MANNINGHAM,UNIT,General Residential Zone,small_area,DONCASTER EAST,2,Small
"202 GLADSTONE ROAD, DANDENONG NORTH",GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,small_area,DANDENONG NORTH,2,Small
"45 GARNET STREET, BRUNSWICK",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK,2,Small
"8 MARKET STREET, DANDENONG",GREATER DANDENONG,UNIT,Residential Growth Zone,small_area,DANDENONG,2,Small
"1 SUVLA GROVE, COBURG NORTH",MERRI-BEK,UNIT,General Residential Zone,small_area,COBURG NORTH,2,Small
"26 NOCKOLDS CRESCENT, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"48 GLEN IRIS ROAD, GLEN IRIS",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,GLEN IRIS,2,Small
"13 HOLLAND COURT, MAIDSTONE",MARIBYRNONG,UNIT,General Residential Zone,small_area,MAIDSTONE,2,Small
"26 NEVIS STREET, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,small_area,CAMBERWELL,2,Small
"8 MANNINGTREE ROAD, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,medium_area,HAWTHORN,2,Small
"26 MOREY STREET, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,small_area,CAMBERWELL,2,Small
"26 MORELL STREET, GLENROY",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,GLENROY,2,Small
"26 MORELAND ROAD, BRUNSWICK EAST",MERRI-BEK,UNIT,General Residential Zone,small_area,BRUNSWICK EAST,2,Small
"48 GLASS STREET, ESSENDON",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,ESSENDON,2,Small
"8 MANGAN STREET, BALWYN",BOROONDARA,UNIT,General Residential Zone,small_area,BALWYN,2,Small
"8 MANCHESTER LANE, PARKVILLE",MELBOURNE,UNIT,Mixed Use Zone,large_area,PARKVILLE,2,Small
"203 CITY ROAD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,2,Small
"538 ORRONG ROAD, ARMADALE",STONNINGTON,UNIT,General Residential Zone,small_area,ARMADALE,2,Small
"26 KIEWA STREET, DONCASTER",MANNINGHAM,UNIT,General Residential Zone,small_area,DONCASTER,2,Small
"8 MARRIOTT STREET, ST KILDA",PORT PHILLIP,UNIT,General Residential Zone,small_area,ST KILDA,2,Small
"55 MARLBOROUGH STREET, FAWKNER",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,FAWKNER,2,Small
"71 CUMBERLAND ROAD, PASCOE VALE",MERRI-BEK,UNIT,General Residential Zone,small_area,PASCOE VALE,2,Small
"26 GROSVENOR STREET, BALACLAVA",PORT PHILLIP,HOUSE,Neighbourhood Residential Zone,small_area,BALACLAVA,2,Small
"26 GREY STREET, BALWYN",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,BALWYN,2,Small
"208 BAY STREET, PORT MELBOURNE",PORT PHILLIP,UNIT,Commercial 1 Zone,small_area,PORT MELBOURNE,2,Small
"1 STOCKADE AVENUE, COBURG",MERRI-BEK,UNIT,General Residential Zone,small_area,COBURG,2,Small
"8 LAKE AVENUE, PASCOE VALE",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,PASCOE VALE,2,Small
"48 DENBIGH ROAD, ARMADALE",STONNINGTON,UNIT,General Residential Zone,small_area,ARMADALE,2,Small
"208 WARRIGAL ROAD, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,small_area,CAMBERWELL,2,Small
"208 WATTLE VALLEY ROAD EXTENSION, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,small_area,CAMBERWELL,2,Small
"26 KENSINGTON ROAD, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,small_area,SOUTH YARRA,2,Small
"13 GLENDALE AVENUE, TEMPLESTOWE",MANNINGHAM,UNIT,General Residential Zone,small_area,TEMPLESTOWE,2,Small
"48 DALGETY STREET, ST KILDA",PORT PHILLIP,HOUSE,Neighbourhood Residential Zone,small_area,ST KILDA,2,Small
"45 KIRKHAM ROAD, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"45 LANDELLS ROAD, PASCOE VALE",MERRI-BEK,UNIT,General Residential Zone,small_area,PASCOE VALE,2,Small
"26 GATCUM COURT, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"1 MARGARET STREET, SEDDON",MARIBYRNONG,UNIT,General Residential Zone,small_area,SEDDON,2,Small
"26 FOOTE STREET, TEMPLESTOWE LOWER",MANNINGHAM,UNIT,General Residential Zone,small_area,TEMPLESTOWE LOWER,2,Small
"13 GARDINER PARADE, GLEN IRIS",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,GLEN IRIS,2,Small
"26 HAMMOND ROAD, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"26 HAROLD ROAD, SPRINGVALE SOUTH",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE SOUTH,2,Small
"71 COTHAM ROAD, KEW",BOROONDARA,UNIT,General Residential Zone,small_area,KEW,2,Small
"13 GLYNDON ROAD, CAMBERWELL",BOROONDARA,HOUSE,General Residential Zone,small_area,CAMBERWELL,2,Small
"107 STRABANE AVENUE, BALWYN",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,BALWYN,2,Small
"8 LITHGOW STREET, GLEN IRIS",BOROONDARA,HOUSE,General Residential Zone,small_area,GLEN IRIS,2,Small
"8 LEONARD STREET, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"8 LENORE STREET, SPRINGVALE",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE,2,Small
"206 DALEY STREET, GLENROY",MERRI-BEK,UNIT,General Residential Zone,small_area,GLENROY,2,Small
"26 JESSON CRESCENT, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"206 DOMAIN ROAD, SOUTH YARRA",MELBOURNE,UNIT,General Residential Zone,small_area,SOUTH YARRA,2,Small
"26 JEFFERS STREET, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"45 JONES ROAD, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"26 IRYMPLE AVENUE, KEW EAST",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,KEW EAST,2,Small
"8 LAWSON STREET, MOONEE PONDS",MOONEE VALLEY,UNIT,General Residential Zone,small_area,MOONEE PONDS,2,Small
"206 UNION ROAD, SURREY HILLS",BOROONDARA,HOUSE,Neighbourhood Residential Zone,small_area,SURREY HILLS,2,Small
"71 BENGA AVENUE, DANDENONG",GREATER DANDENONG,HOUSE,General Residential Zone,small_area,DANDENONG,2,Small
"48 DEVON DRIVE, DONCASTER EAST",MANNINGHAM,HOUSE,General Residential Zone,small_area,DONCASTER EAST,2,Small
"26 HOPETOUN STREET, MOONEE PONDS",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,MOONEE PONDS,2,Small
"11 ACHERON AVENUE, CAMBERWELL",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,CAMBERWELL,2,Small
"207 GORDON STREET, COBURG",MERRI-BEK,UNIT,General Residential Zone,small_area,COBURG,2,Small
"1 SYLVESTER STREET, OAK PARK",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,OAK PARK,2,Small
"12 WHARTON STREET, SURREY HILLS",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,SURREY HILLS,2,Small
"26 FENACRE STREET, STRATHMORE",MOONEE VALLEY,UNIT,General Residential Zone,small_area,STRATHMORE,2,Small
"26 YARDLEY STREET, MAIDSTONE",MARIBYRNONG,UNIT,General Residential Zone,small_area,MAIDSTONE,2,Small
"70 LEWISHAM ROAD, WINDSOR",STONNINGTON,UNIT,General Residential Zone,small_area,WINDSOR,2,Small
"20 THE AVENUE, COBURG",MERRI-BEK,HOUSE,Activity Centre Zone,small_area,COBURG,2,Small
"8 NAMUR STREET, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"20 TRAM ROAD, DONCASTER",MANNINGHAM,UNIT,Residential Growth Zone,small_area,DONCASTER,2,Small
"8 MYRTLE STREET, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,small_area,HAWTHORN,2,Small
"260 HILTON STREET, GLENROY",MERRI-BEK,UNIT,General Residential Zone,small_area,GLENROY,2,Small
"8 MURRELL STREET, GLENROY",MERRI-BEK,UNIT,Residential Growth Zone,small_area,GLENROY,2,Small
"26 YORK STREET, GLENROY",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,GLENROY,2,Small
"535 ALBION STREET, BRUNSWICK WEST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK WEST,2,Small
"8 MONTE CARLO DRIVE, AVONDALE HEIGHTS",MOONEE VALLEY,UNIT,General Residential Zone,small_area,AVONDALE HEIGHTS,2,Small
"11 ALLENBY AVENUE, GLEN IRIS",STONNINGTON,UNIT,General Residential Zone,small_area,GLEN IRIS,2,Small
"26 WOODLANDS AVENUE, KEW EAST",BOROONDARA,HOUSE,Neighbourhood Residential Zone,small_area,KEW EAST,2,Small
"20 VAN NESS AVENUE, GLEN IRIS",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,GLEN IRIS,2,Small
"20 VINCENT CRESCENT, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"20 VIOLET STREET, ESSENDON",MOONEE VALLEY,HOUSE,General Residential Zone,small_area,ESSENDON,2,Small
"20 VIZARD STREET, DANDENONG",GREATER DANDENONG,HOUSE,General Residential Zone,small_area,DANDENONG,2,Small
"8 MOREY STREET, CAMBERWELL",BOROONDARA,HOUSE,General Residential Zone,small_area,CAMBERWELL,2,Small
"1 MACKENZIE STREET, MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,small_area,MELBOURNE,2,Small
"533 WHITEHORSE ROAD, SURREY HILLS",BOROONDARA,UNIT,General Residential Zone,small_area,SURREY HILLS,2,Small
"20 TANDARA AVENUE, DONCASTER",MANNINGHAM,UNIT,General Residential Zone,small_area,DONCASTER,2,Small
"70 LANGHORNE STREET, DANDENONG",GREATER DANDENONG,UNIT,Residential Growth Zone,small_area,DANDENONG,2,Small
"261 WILLIAMS ROAD, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,small_area,SOUTH YARRA,2,Small
"20 SPRINGFIELD AVENUE, TOORAK",STONNINGTON,UNIT,General Residential Zone,medium_area,TOORAK,2,Small
"263 WILLIAMS ROAD, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,small_area,SOUTH YARRA,2,Small
"70 GLEN HUNTLY ROAD, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,2,Small
"533 ORRONG ROAD, ARMADALE",STONNINGTON,UNIT,General Residential Zone,small_area,ARMADALE,2,Small
"45 CORELLA COURT, DONCASTER",MANNINGHAM,UNIT,General Residential Zone,small_area,DONCASTER,2,Small
"70 HILDA STREET, GLENROY",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,GLENROY,2,Small
"45 CROMWELL ROAD, SOUTH YARRA",STONNINGTON,HOUSE,Neighbourhood Residential Zone,small_area,SOUTH YARRA,2,Small
"533 PRINCES HIGHWAY, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"262 REYNARD STREET, COBURG",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,COBURG,2,Small
"262 MORELAND ROAD, BRUNSWICK",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK,2,Small
"70 KINGSVILLE STREET, KINGSVILLE",MARIBYRNONG,UNIT,General Residential Zone,small_area,KINGSVILLE,2,Small
"262 DOMAIN ROAD, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,medium_area,SOUTH YARRA,2,Small
"262 CORRIGAN ROAD, NOBLE PARK",GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,small_area,NOBLE PARK,2,Small
"48 MACKAY STREET, SPRINGVALE SOUTH",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE SOUTH,2,Small
"20 SURREY STREET, PASCOE VALE",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,PASCOE VALE,2,Small
"48 MACFARLAN STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,small_area,SOUTH YARRA,2,Small
"8 NELSON COURT, AVONDALE HEIGHTS",MOONEE VALLEY,UNIT,General Residential Zone,small_area,AVONDALE HEIGHTS,2,Small
"26 WELLINGTON STREET, KEW",BOROONDARA,UNIT,General Residential Zone,large_area,KEW,2,Small
"1 THIRD AVENUE, DANDENONG NORTH",GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,small_area,DANDENONG NORTH,2,Small
"26 PARK STREET, MOONEE PONDS",MOONEE VALLEY,UNIT,General Residential Zone,small_area,MOONEE PONDS,2,Small
"8 MAYLANDS AVENUE, BALWYN NORTH",BOROONDARA,HOUSE,Neighbourhood Residential Zone,medium_area,BALWYN NORTH,2,Small
"26 ROYAL AVENUE, ESSENDON NORTH",MOONEE VALLEY,UNIT,General Residential Zone,small_area,ESSENDON NORTH,2,Small
"201 BURKE ROAD, GLEN IRIS",STONNINGTON,HOUSE,General Residential Zone,small_area,GLEN IRIS,2,Small
"70 VIEW STREET, GLENROY",MERRI-BEK,HOUSE,Neighbourhood Residential Zone,small_area,GLENROY,2,Small
"13 JACKA STREET, BALWYN NORTH",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,BALWYN NORTH,2,Small
"48 HALPIN STREET, BRUNSWICK WEST",MERRI-BEK,UNIT,General Residential Zone,small_area,BRUNSWICK WEST,2,Small
"26 ROCKLEY ROAD, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,small_area,SOUTH YARRA,2,Small
"201 DAVID STREET, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,2,Small
"201 DOVER STREET, CREMORNE",YARRA,HOUSE,Neighbourhood Residential Zone,small_area,CREMORNE,2,Small
"13 IRYMPLE AVENUE, KEW EAST",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,KEW EAST,2,Small
"26 WATT AVENUE, OAK PARK",MERRI-BEK,HOUSE,Neighbourhood Residential Zone,small_area,OAK PARK,2,Small
"26 RENOWN STREET, ESSENDON NORTH",MOONEE VALLEY,UNIT,General Residential Zone,small_area,ESSENDON NORTH,2,Small
"26 RENOWN STREET, COBURG NORTH",MERRI-BEK,UNIT,General Residential Zone,small_area,COBURG NORTH,2,Small
"26 REGENT STREET, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,small_area,CAMBERWELL,2,Small
"201 MITCHAM ROAD, DONVALE",MANNINGHAM,UNIT,General Residential Zone,small_area,DONVALE,2,Small
"26 RANKINS ROAD, KENSINGTON",MELBOURNE,UNIT,General Residential Zone,small_area,KENSINGTON,2,Small
"55 PARKER STREET, TEMPLESTOWE LOWER",MANNINGHAM,UNIT,General Residential Zone,small_area,TEMPLESTOWE LOWER,2,Small
"12 WESTBROOK STREET, KEW EAST",BOROONDARA,UNIT,General Residential Zone,small_area,KEW EAST,2,Small
"26 PIPER STREET, FAWKNER",MERRI-BEK,UNIT,General Residential Zone,small_area,FAWKNER,2,Small
"536 PASCOE VALE ROAD, PASCOE VALE",MERRI-BEK,UNIT,General Residential Zone,small_area,PASCOE VALE,2,Small
"536 CAMBERWELL ROAD, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,small_area,CAMBERWELL,2,Small
"200 WARRIGAL ROAD, CAMBERWELL",BOROONDARA,UNIT,General Residential Zone,medium_area,CAMBERWELL,2,Small
"45 ELLT CRESCENT, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,2,Small
"20 WEWAK ROAD, ASHBURTON",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,ASHBURTON,2,Small
"20 WHEATSHEAF ROAD, GLENROY",MERRI-BEK,UNIT,General Residential Zone,small_area,GLENROY,2,Small
"26 VERA STREET, BULLEEN",MANNINGHAM,UNIT,General Residential Zone,small_area,BULLEEN,2,Small
"13 LARNOO AVENUE, BRUNSWICK WEST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK WEST,2,Small
"48 KENNY STREET, BALWYN NORTH",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,BALWYN NORTH,2,Small
"12 WARBURTON LANE, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,2,Small
"8 MILLWARD STREET, BRUNSWICK",MERRI-BEK,UNIT,Residential Growth Zone,small_area,BRUNSWICK,2,Small
"26 TURNER CLOSE, SPRINGVALE",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE,2,Small
"45 ELDER PARADE, ESSENDON",MOONEE VALLEY,HOUSE,General Residential Zone,small_area,ESSENDON,2,Small
"13 KINGSVILLE STREET, KINGSVILLE",MARIBYRNONG,HOUSE,General Residential Zone,small_area,KINGSVILLE,2,Small
"200 MELVILLE ROAD, PASCOE VALE SOUTH",MERRI-BEK,HOUSE,Neighbourhood Residential Zone,small_area,PASCOE VALE SOUTH,2,Small
"55 POTTER STREET, DANDENONG",GREATER DANDENONG,UNIT,Residential Growth Zone,small_area,DANDENONG,2,Small
"535 PASCOE VALE ROAD, PASCOE VALE",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,PASCOE VALE,2,Small
